Date	BC	AB	SK	MB	ON	QC	NL	NB	NS	PE	Canada
2021-05-27	6.41	11.82	12.54	28.35	9.78	5.42	1.72	1.35	5.72	0.09	8.88
2021-05-28	6.13	11.11	11.82	27.32	9.18	4.87	1.83	1.24	5.08	0.18	8.33
2021-05-29	5.86	10.41	11.8	26.11	8.47	4.71	1.97	1.39	4.62	0.18	7.84
2021-05-30	5.61	9.86	12.48	24.37	7.83	4.44	1.53	1.3	3.85	0.18	7.37
2021-05-31	5.39	9.25	12.59	23.79	7.32	4.18	1.45	1.21	3.38	0.36	6.98
2021-06-01	5.1	8.67	12.29	23.5	6.99	3.95	1.31	1.13	2.8	0.36	6.65
2021-06-02	4.94	8.74	11.7	23	6.64	3.92	1.67	1.17	2.47	0.36	6.45
2021-06-03	4.45	8.03	11.32	23.67	6.38	3.64	1.67	1.3	2.35	0.54	6.15
2021-06-04	4.07	7.17	10.92	21.89	6.03	3.4	1.34	1.32	1.98	0.36	5.72
2021-06-05	3.96	6.8	9.95	21.05	5.73	3.1	1.23	1.3	1.77	0.36	5.41
2021-06-06	3.66	6.29	8.77	20.33	5.37	2.87	1.18	1.19	1.65	0.36	5.05
2021-06-07	3.44	5.85	8.23	18.97	4.99	2.73	1.18	1.02	1.65	0.18	4.72
2021-06-08	3.39	5.62	8.28	19.06	4.77	2.63	1.09	0.95	1.68	0.18	4.59
2021-06-09	3.26	5.31	7.58	18.89	4.46	2.45	0.71	0.97	1.66	0.18	4.34
2021-06-10	3.14	4.93	7.1	17.78	4.18	2.32	0.68	0.73	1.5	0	4.08
2021-06-11	3.13	4.69	7.07	16.72	3.86	2.16	0.71	0.57	1.36	0	3.84
2021-06-12	2.79	4.32	7.15	16.91	3.62	2.09	0.74	0.53	1.24	0	3.65
2021-06-13	2.74	4.11	7.05	16.64	3.49	2.04	0.63	0.6	1.15	0	3.54
2021-06-14	2.56	4.07	6.9	16.2	3.42	1.92	0.68	0.6	1.01	0	3.44
2021-06-15	2.4	4.03	6.36	14.94	3.25	1.84	0.66	0.64	0.83	0	3.26
2021-06-16	2.31	3.51	6.47	13.81	3.22	1.81	0.6	0.46	0.76	0	3.13
2021-06-17	2.21	3.42	6.51	13.05	3.01	1.76	0.49	0.46	0.76	0	2.99
2021-06-18	2.01	3.27	6.76	12.62	2.79	1.67	0.41	0.49	0.85	0	2.83
2021-06-19	2.01	3.1	6.13	11.13	2.64	1.63	0.25	0.46	0.77	0	2.67
2021-06-20	1.95	2.89	6.06	10.09	2.44	1.55	0.22	0.37	0.71	0	2.51
2021-06-21	1.88	2.72	5.73	9.51	2.27	1.49	0.11	0.35	0.61	0	2.37
2021-06-22	1.73	2.49	5.59	9.02	2.27	1.46	0.08	0.31	0.61	0	2.3
2021-06-23	1.66	2.29	4.99	8.86	2.14	1.42	0.05	0.27	0.5	0	2.17
2021-06-24	1.53	2.05	4.48	8.1	2.07	1.31	0.03	0.26	0.36	0	2.02
2021-06-25	1.43	1.91	3.84	7.11	1.98	1.25	0.03	0.22	0.44	0	1.9
2021-06-26	1.33	1.7	3.94	6.63	1.98	0.98	0.03	0.15	0.53	0	1.79
2021-06-27	1.18	1.49	3.79	6.67	1.94	0.8	0.03	0.13	0.54	0	1.67
2021-06-28	1.16	1.39	3.66	6.61	1.89	1.08	0.05	0.15	0.58	0	1.71
2021-06-29	1.09	1.41	3.88	6.54	1.89	1.06	0.03	0.18	0.57	0.09	1.71
2021-06-30	0.97	1.35	3.84	6.01	1.82	1.06	0.05	0.22	0.63	0.09	1.64
2021-07-01	0.9	1.33	3.28	5.81	1.81	1.05	0.05	0.18	0.61	0.09	1.6
2021-07-02	0.8	1.21	2.88	5.52	1.75	1.03	0.08	0.22	0.41	0.09	1.51
2021-07-03	0.72	1.14	2.73	4.92	1.62	1.03	0.08	0.2	0.36	0.09	1.41
2021-07-04	0.72	1.21	2.47	4.58	1.55	1.24	0.08	0.18	0.36	0.09	1.42
2021-07-05	0.67	1.25	2.51	4.6	1.51	0.89	0.41	0.18	0.34	0.09	1.32
2021-07-06	0.61	1.16	1.96	4.33	1.46	0.89	0.41	0.13	0.42	0.09	1.25
2021-07-07	0.65	1.13	2.24	4.29	1.47	0.85	0.38	0.07	0.38	0.09	1.26
2021-07-08	0.68	0.99	3.53	4.28	1.4	0.79	0.38	0.07	0.35	0.09	1.24
2021-07-09	0.9	1.01	3.83	4.48	1.38	1.17	0.41	0.02	0.34	0.09	1.37
2021-07-10	0.95	0.98	3.75	4.9	1.35	1.17	0.41	0.02	0.23	0.09	1.36
2021-07-11	0.98	0.9	3.66	4.89	1.31	1.19	0.41	0.02	0.23	0.09	1.34
2021-07-12	1.01	0.86	3.62	4.54	1.25	1.2	0.05	0	0.22	0.09	1.3
2021-07-13	1.08	0.86	3.87	4.34	1.16	1.18	0.19	0	0.13	0	1.26
2021-07-14	1.03	0.79	3.3	4.19	1.12	1.13	0.27	0	0.12	0	1.2
2021-07-15	1.03	0.89	2.29	3.74	1.05	1.13	0.9	0.13	0.09	0	1.15
2021-07-16	0.83	0.86	1.99	3.38	1.03	0.79	0.85	0.16	0.07	0	1.01
2021-07-17	0.86	0.91	1.9	3.09	1.02	0.79	0.85	0.16	0.06	0	1
2021-07-18	0.9	0.96	2.1	2.85	1.04	0.78	0.85	0.18	0.06	0	1.01
2021-07-19	0.92	0.99	2.1	2.92	1.05	0.69	0.96	0.18	0.06	0	1.01
2021-07-20	1.04	1.1	2.04	3.01	1.03	0.61	0.82	0.18	0.04	0	1.01
2021-07-21	1.15	1.21	2.59	2.9	1.02	0.48	0.74	0.18	0.15	0	1.02
2021-07-22	1.23	1.38	2.61	3.02	1.06	0.54	0.11	0.07	0.15	0	1.07
2021-07-23	1.42	1.56	2.98	3.05	1.09	0.56	0.11	0.09	0.18	0	1.15
2021-07-24	1.52	1.89	3.14	2.99	1.08	0.56	0.11	0.09	0.18	0	1.21
2021-07-25	1.58	2.21	3.03	2.91	1.08	0.7	0.11	0.07	0.13	0	1.27
2021-07-26	1.73	2.39	3.36	2.62	1.07	0.83	0	0.09	0.15	0	1.34
2021-07-27	1.93	2.6	3.55	2.6	1.07	0.96	0	0.11	0.18	0	1.43
2021-07-28	2.23	2.97	3.7	2.43	1.09	1.18	0	0.15	0.07	0	1.56
2021-07-29	2.54	3.38	3.95	2.37	1.12	1.24	0	0.2	0.09	0	1.69
2021-07-30	2.91	3.67	4.02	2.42	1.16	1.28	0	0.27	0.07	0	1.79
2021-07-31	3.09	3.95	4.46	2.14	1.24	1.28	0	0.27	0.07	0	1.89
2021-08-01	3.41	4.24	4.65	2.16	1.29	1.48	0	0.6	0.07	0	2.04
2021-08-02	3.67	4.41	4.47	2.24	1.33	1.62	0.08	0.58	0.06	0	2.14
2021-08-03	3.81	4.38	4.3	2.23	1.37	1.78	0.08	0.77	0.12	0	2.2
2021-08-04	4.24	4.42	4.25	2.08	1.35	1.86	0.11	0.77	0.15	0.27	2.27
2021-08-05	4.8	4.95	4.47	1.99	1.34	2.14	0.11	0.91	0.19	0.36	2.48
2021-08-06	5.41	5.54	4.82	1.77	1.45	2.31	0.16	0.9	0.19	0.36	2.71
2021-08-07	6.14	6.05	5.49	1.79	1.57	2.31	0.16	0.9	0.19	0.36	2.94
2021-08-08	6.6	6.52	5.95	1.83	1.77	2.58	0.16	0.93	0.19	0.36	3.21
2021-08-09	6.9	6.83	6.28	1.98	1.92	2.73	0.08	1.02	0.29	0.36	3.4
2021-08-10	7.44	7.33	6.78	2.07	2.07	2.83	0.08	0.97	0.22	0.54	3.63
2021-08-11	7.98	8.28	7.15	2.19	2.25	3.13	0.05	1.17	0.23	0.45	3.97
2021-08-12	8.29	8.77	7.98	2.2	2.54	3.24	0.05	1.15	0.28	0.36	4.23
2021-08-13	8.99	9.46	8.44	2.15	2.71	3.59	0.11	1.39	0.28	0.54	4.57
2021-08-14	9.3	10	8.3	2.1	2.9	4.3	0.11	1.39	0.28	0.54	4.9
2021-08-15	9.51	10.24	9.05	1.87	2.99	4	0.11	1.02	0.28	0.54	4.93
2021-08-16	9.98	10.72	9.43	1.96	3.18	4.25	0.19	1.66	0.31	0.72	5.22
2021-08-17	10.27	11.14	9.95	1.86	3.21	4.4	0.19	1.75	0.31	0.63	5.38
2021-08-18	10.32	11.71	10.42	1.99	3.37	4.52	0.36	1.81	0.39	0.45	5.59
2021-08-19	10.81	12.57	11.05	1.9	3.38	4.64	0.36	1.99	0.41	0.45	5.81
2021-08-20	10.66	13.11	12.5	2.11	3.52	4.8	0.3	2.27	0.54	0.27	6.02
2021-08-21	11.19	13.94	13.21	2.34	3.63	5.02	0.3	2.27	0.54	0.54	6.25
2021-08-22	11.48	14.67	14.14	2.47	3.83	5.26	0.3	2.27	0.54	0.54	6.61
2021-08-23	11.43	14.94	13.31	2.42	3.94	5.2	0.27	2.6	0.66	0.36	6.64
2021-08-24	11.81	15.65	13.68	2.6	4.07	5.23	0.27	2.63	0.77	0.36	6.85
2021-08-25	12.22	16.94	14.71	3.26	4.24	5.43	0.16	2.52	0.74	0.36	7.19
2021-08-26	12.31	17.89	14.34	3.57	4.39	5.71	0.16	2.29	0.64	0.36	7.43
2021-08-27	12.88	19.25	14.51	3.42	4.51	5.85	0.3	1.96	0.63	0.81	7.73
2021-08-28	13	20.57	16.54	4	4.65	5.92	0.3	2.27	0.63	0.54	8.12
2021-08-29	13.1	21.48	17	4.11	4.67	6.11	0.3	2.45	0.63	0.54	8.24
2021-08-30	13.27	22.75	19.22	4.12	4.73	6.13	0.49	1.61	0.83	0.54	8.5
2021-08-31	13.31	23.69	21.06	4.02	4.76	6.26	0.49	1.39	0.71	0.72	8.72
2021-09-01	13.38	24.34	22.32	3.34	4.73	6.49	0.66	1.39	0.71	0.7	8.85
2021-09-02	13.59	25.07	23.6	3.24	4.91	6.65	0.66	1.43	0.75	0.7	9.11
2021-09-03	13.05	25.82	25.84	3.5	4.94	6.88	0.6	1.39	0.69	0.26	9.25
2021-09-04	12.75	26.14	25.83	2.84	5.04	6.98	0.6	1.32	0.79	0.26	9.29
2021-09-05	12.89	27.72	27.41	2.93	5.11	7.32	0.6	1.38	0.95	0.26	9.65
2021-09-06	13.06	27.57	29.75	2.92	5	7.55	0.77	1.43	0.6	0.26	9.74
2021-09-07	12.83	28.8	29.92	2.99	5.04	7.7	0.91	1.61	0.65	0.17	9.89
2021-09-08	12.91	28.32	30.84	3.12	4.94	7.55	0.93	1.7	0.75	0.26	9.82
2021-09-09	12.83	28.87	31.08	3.17	4.87	7.56	0.93	1.83	0.94	0.26	9.87
2021-09-10	13.24	29.11	30.95	3.7	4.91	7.77	1.13	2.01	1.01	0.61	10.04
2021-09-11	13.69	30.16	30.79	4.05	4.83	8.32	1.13	2.7	1.37	0.7	10.35
2021-09-12	13.71	30.31	31.19	4.07	4.8	8.29	1.13	3.17	1.63	1.22	10.39
2021-09-13	13.59	32.77	31.86	4.17	4.82	8.47	0.96	3.48	1.67	1.65	10.74
2021-09-14	13.89	33.19	34.31	4.34	4.84	8.67	0.82	3.87	2.56	1.74	11.01
2021-09-15	13.47	34.62	35.28	4.26	4.87	8.97	0.85	4.72	2.45	2.09	11.25
2021-09-16	13.28	35.29	37.16	4.4	4.94	9.1	0.85	5.34	2.69	2.96	11.44
2021-09-17	13.14	37.04	37.69	4.22	4.89	9.03	0.63	5.94	2.81	3.3	11.61
2021-09-18	12.65	36.87	39.53	4.04	4.85	8.75	0.63	6.15	2.35	3.48	11.49
2021-09-19	12.57	37.18	41	4.04	4.78	8.72	0.63	6.81	1.93	3.22	11.53
2021-09-20	12.36	36.7	41.81	4.04	4.79	8.79	0.8	7.33	2.58	2.78	11.52
2021-09-21	11.94	36.97	40.16	4.15	4.79	8.72	1.23	7.87	1.99	2.78	11.43
2021-09-22	12.21	36.1	39.55	4.16	4.67	8.54	1.59	8.11	2.17	2.35	11.27
2021-09-23	12.63	35.91	39.79	4.32	4.49	8.49	1.59	8.13	2.28	1.48	11.25
2021-09-24	12.57	34.72	40.4	4.01	4.42	8.27	2.72	8.51	2.51	1.3	11.06
2021-09-25	13.2	35.61	41.06	4.48	4.25	8.23	3.1	8.47	2.51	1.13	11.22
2021-09-26	13.32	35.45	41.17	5.04	4.19	8.19	3.76	8.6	2.51	0.96	11.22
2021-09-27	14.05	36.49	39.68	5.52	4.19	7.92	4.03	9.05	2.91	0.96	11.38
2021-09-28	14.39	35.61	40.61	5.28	4.08	7.73	3.98	9.1	2.97	0.78	11.25
2021-09-29	14.54	36.72	40.22	6	4.12	7.57	3.79	9.25	3.27	0.78	11.41
2021-09-30	14.2	36.87	41.94	6.18	4.09	7.41	3.79	10.1	2.68	1.04	11.4
2021-10-01	14.12	36.8	41.26	6.48	4.03	7.32	3.68	10.23	3.3	0.78	11.33
2021-10-02	13.41	35.99	40.45	6.7	4.09	7.06	3.54	11.66	3.3	0.7	11.13
2021-10-03	13.54	35.15	38.06	6.77	4.02	6.69	3.1	11.86	3.3	0.61	10.87
2021-10-04	13.42	33.12	38.69	6.7	3.92	6.49	2.8	11.66	3.33	0.61	10.55
2021-10-05	13.53	31.25	36.18	7.28	3.89	6.44	2.55	12.06	3.47	0.61	10.29
2021-10-06	13.37	29.9	37.17	6.9	3.87	6.29	2.36	11.82	3.25	0.61	10.08
2021-10-07	13.06	28.45	37.75	7.37	3.81	6.25	2.55	12.13	3.67	0.61	9.9
2021-10-08	13.14	27.24	39.04	7.68	3.72	6.25	1.65	12.94	2.92	0.35	9.79
2021-10-09	13.1	25.5	39.18	7.36	3.67	6.18	1.4	12.22	3.31	0.35	9.52
2021-10-10	12.9	24.71	41.03	7.39	3.63	6.36	1.18	11.86	3.54	0.35	9.48
2021-10-11	12.37	23.11	40.79	7.35	3.58	6.5	0.8	12.27	2.55	0.35	9.21
2021-10-12	11.53	22.93	41.16	7.05	3.54	6.46	1.23	12.62	2.48	0.52	9.02
2021-10-13	11.13	20.96	39.09	7	3.38	6.47	1.1	12.82	2.43	0.52	8.62
2021-10-14	11.01	19.88	35.03	6.64	3.21	6.49	1.02	13.12	2.39	0.26	8.28
2021-10-15	10.8	19.22	31.82	6.35	3.14	6.55	0.91	12.34	2.29	0.52	8.02
2021-10-16	11.21	18.25	30.85	6.49	2.98	6.68	0.91	11.73	2.43	0.52	7.89
2021-10-17	11.25	17.45	28.59	6.13	2.89	6.55	0.91	11.46	2.48	0.52	7.65
2021-10-18	11.18	17.38	26.77	5.94	2.8	6.43	1.13	10.64	2.56	0.52	7.51
2021-10-19	11.66	17.14	26.75	6.31	2.75	6.32	0.55	9.58	2.16	0.52	7.49
2021-10-20	11.91	17.57	26.03	6.07	2.74	6.22	0.69	9.34	1.92	0.52	7.49
2021-10-21	12.28	17.1	26.52	5.87	2.74	5.87	0.58	8.15	1.81	0.52	7.37
2021-10-22	12.23	15.83	26.4	6.2	2.74	5.47	1.29	7.29	1.89	0.26	7.12
2021-10-23	11.85	15.59	24.22	6.24	2.63	5.08	1.29	6.82	1.35	0.26	6.82
2021-10-24	11.52	14.71	23.21	6.96	2.56	4.92	1.29	6.7	1.08	0.26	6.6
2021-10-25	11.61	13.94	21.94	6.99	2.51	4.77	2.06	6.14	1.58	0.26	6.44
2021-10-26	11.33	13.65	20.2	6.66	2.45	4.77	2.06	5.61	1.6	0	6.26
2021-10-27	11.06	13.2	19.92	7.31	2.47	4.8	2.36	5.39	1.9	0.17	6.2
2021-10-28	11.18	12.43	18.49	7.67	2.47	4.88	2.36	5.43	2.06	0.17	6.12
2021-10-29	11	12.26	17.71	7.9	2.4	5.01	1.76	5.58	2.1	0.17	6.06
2021-10-30	10.88	11.69	17.19	7.79	2.38	5.24	1.76	5.45	2.1	0.17	5.99
2021-10-31	10.72	11.12	16.38	7.72	2.35	5.48	1.76	5.1	2.1	0.17	5.91
2021-11-01	10.32	11.03	15.89	8	2.44	5.77	0.82	5.27	2.13	0.35	5.94
2021-11-02	10.18	10.62	15.68	8.53	2.5	6.01	0.82	5.61	2.19	0.35	5.97
2021-11-03	9.72	10.12	15.06	8.71	2.56	6.09	0.3	5.67	2.36	0.26	5.87
2021-11-04	9.28	10.07	14.47	8.99	2.59	6.27	0.3	5.12	2.65	0.26	5.83
2021-11-05	9.18	9.63	13.29	8.82	2.72	6.37	0.3	5.18	2.82	0.26	5.81
2021-11-06	9.14	9.8	12.99	9.7	2.87	6.54	0.3	5.48	2.82	0.26	5.95
2021-11-07	9.12	10.1	12.83	9.84	3.16	6.5	0.3	5.86	2.82	0.61	6.1
2021-11-08	9.37	9.92	12.48	10.52	3.21	6.56	0.49	6.1	3.57	0.43	6.17
2021-11-09	9.62	10.26	12.19	11.1	3.32	6.64	0.49	6.32	4.22	0.43	6.37
2021-11-10	9.97	10.25	11.58	11.23	3.39	6.89	0.66	6.48	4.09	0.35	6.51
2021-11-11	9.76	10.1	11.5	11.18	3.59	7.01	0.66	7.04	3.37	0.35	6.56
2021-11-12	9.55	9.8	11.27	12.02	3.62	7.26	0.6	7.29	3.82	0.61	6.6
2021-11-13	9.41	9.29	9.93	11.57	3.77	7.31	0.6	7.48	3.82	0.61	6.56
2021-11-14	9.2	9.04	9.36	10.95	3.8	7.45	0.6	7.69	3.82	0.26	6.51
2021-11-15	9.09	9.05	8.49	10.96	3.87	7.41	0.41	7.62	3.63	0.35	6.52
2021-11-16	8.64	8.73	8.49	10.1	3.91	7.36	0.41	7.29	3.27	0.35	6.34
2021-11-17	8.01	8.5	9.12	10.05	3.96	7.45	0.33	7.53	3.12	0.96	6.28
2021-11-18	7.87	8.22	8.77	10.51	4.03	7.54	0.33	7.57	3.44	1.04	6.29
2021-11-19	7.91	8.35	8.37	10.4	4.22	7.59	0.27	8.02	2.84	1.04	6.38
2021-11-20	7.6	8.48	10.79	10.64	4.28	7.75	0.27	8.15	2.84	1.39	6.48
2021-11-21	7.45	8.59	10.21	11.12	4.35	7.88	0.27	8.6	2.84	1.56	6.53
2021-11-22	7.28	8.53	10.75	10.97	4.43	8.18	0.3	9	2.29	1.83	6.58
2021-11-23	7.27	8.31	10.55	11.31	4.55	8.48	0.3	9.74	2.25	2.43	6.7
2021-11-24	7.27	8.48	9.54	11.27	4.63	8.75	0.3	9.83	2.25	2.43	6.77
2021-11-25	7.14	8.47	8.85	11.26	4.66	9.05	0.3	10.25	2.25	2.52	6.82
2021-11-26	6.75	8.29	9.08	10.76	4.79	11.71	0.36	10.41	2.26	2.43	7.37
2021-11-27	6.74	7.82	6.9	10.34	4.92	12.31	0.36	10.73	2.26	2.09	7.42
2021-11-28	6.68	7.39	6.79	10.08	5.13	12.59	0.36	9.92	2.26	2.35	7.48
2021-11-29	6.55	7.26	6.5	9.57	5.29	12.69	0.52	9.63	2.23	2	7.49
2021-11-30	6.61	7.21	6.19	9.49	5.36	12.83	0.52	9.27	2.71	1.48	7.53
2021-12-01	6.79	7.1	6.09	9.47	5.54	13.35	0.47	9.38	2.92	1.48	7.73
2021-12-02	6.63	7.06	5.79	9.1	5.74	13.76	0.47	9.38	3.18	1.39	7.86
2021-12-03	6.81	7.04	5.45	9.17	5.84	12.12	0.44	9.34	3.05	1.3	7.54
2021-12-04	6.71	7.12	5.39	9.86	6.03	12.69	0.44	9.2	3.05	1.74	7.76
2021-12-05	6.71	7.11	5.58	10.83	6.25	13.33	0.44	10.52	3.05	1.48	8.05
2021-12-06	6.74	6.98	5.57	11.27	6.34	14.04	0.38	10.97	2.88	1.74	8.26
2021-12-07	6.66	6.99	5.69	10.98	6.57	14.8	0.38	11.22	2.3	2.09	8.49
2021-12-08	6.64	6.85	5.28	11.5	6.79	15.08	0.47	11.55	2.29	2	8.63
2021-12-09	6.56	6.75	5.17	11.85	7.11	16.19	0.47	12.98	2.45	2.17	9.02
2021-12-10	6.65	6.55	5.1	12.38	7.52	17.28	0.38	13.81	3.02	2.7	9.46
2021-12-11	6.83	6.62	5.9	12.09	8.05	18.06	0.38	14.7	3.02	2.26	9.91
2021-12-12	6.98	6.74	5.51	11.55	8.33	18.89	0.38	14.59	3.02	2.7	10.2
2021-12-13	7.16	6.79	5.35	11.71	8.96	19.61	0.6	15.11	5.23	2.43	10.71
2021-12-14	7.68	6.82	5.29	12.35	9.44	20.47	0.6	15.84	5.88	2.26	11.22
2021-12-15	8.25	7.04	5.45	12.67	10.21	22.16	0.82	16.73	7.01	2.7	12.07
2021-12-16	9.37	7.49	5.36	12.87	11.3	23.71	0.82	16.78	7.6	3.3	13.07
